"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1232","test_check_if_two_strings_are_anagrams[HeLLo-oLLeH-true]","tests.bdd","Wed Dec 03 15:54:12 UTC 2025","passed","Wed Dec 03 15:54:14 UTC 2025","","test_anagram_ui","",""
"Test various valid anagram pairs","0","Test check method with valid anagrams","tests.unit","Wed Dec 03 15:52:50 UTC 2025","passed","Wed Dec 03 15:52:50 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"Test API with numeric strings","2","Test API with numeric strings","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"Test various non-anagram pairs","0","Test check method with non-anagrams","tests.unit","Wed Dec 03 15:52:50 UTC 2025","passed","Wed Dec 03 15:52:50 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1187","test_check_if_two_strings_are_anagrams[The Morse Code-Here come dots-true]","tests.bdd","Wed Dec 03 15:54:24 UTC 2025","passed","Wed Dec 03 15:54:25 UTC 2025","","test_anagram_ui","",""
"BDD: Given inputs, when checking via API, then result matches expected","2","BDD: Check if two strings are anagrams via API","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with repeated characters","1","Test API with repeated characters","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1246","test_check_if_two_strings_are_anagrams[caf\xe9-\xe9fac-true]","tests.bdd","Wed Dec 03 15:53:56 UTC 2025","passed","Wed Dec 03 15:53:57 UTC 2025","","test_anagram_ui","",""
"BDD: Given inputs, when checking via API, then result matches expected","1","BDD: Check if two strings are anagrams via API","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1212","test_check_if_two_strings_are_anagrams[Z\xfcrich-hcir\xfcZ-true]","tests.bdd","Wed Dec 03 15:54:01 UTC 2025","passed","Wed Dec 03 15:54:02 UTC 2025","","test_anagram_ui","",""
"Test API with various whitespace scenarios","2","Test API with whitespace variations","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with mixed alphanumeric strings","1","Test API with mixed alphanumeric","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1288","test_check_if_two_strings_are_anagrams[hello-world-false]","tests.bdd","Wed Dec 03 15:53:27 UTC 2025","passed","Wed Dec 03 15:53:28 UTC 2025","","test_anagram_ui","",""
"Test API case insensitivity","2","Test API with case sensitivity","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"BDD: Given inputs, when checking via API, then result matches expected","2","BDD: Check if two strings are anagrams via API","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"Test API case insensitivity","2","Test API with case sensitivity","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"Test the health check endpoint","58","Test health check endpoint","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1000","test_check_if_two_strings_are_anagrams[--true]","tests.bdd","Wed Dec 03 15:53:43 UTC 2025","passed","Wed Dec 03 15:53:44 UTC 2025","","test_anagram_ui","",""
"Test combined case and space normalization","0","Test combined normalization","tests.unit","Wed Dec 03 15:52:50 UTC 2025","passed","Wed Dec 03 15:52:50 UTC 2025","TestCaseInsensitiveNormalizer","test_anagram_checker","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1212","test_check_if_two_strings_are_anagrams[1000-0001-true]","tests.bdd","Wed Dec 03 15:54:05 UTC 2025","passed","Wed Dec 03 15:54:06 UTC 2025","","test_anagram_ui","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1211","test_check_if_two_strings_are_anagrams[test@123-123@test-true]","tests.bdd","Wed Dec 03 15:53:49 UTC 2025","passed","Wed Dec 03 15:53:51 UTC 2025","","test_anagram_ui","",""
"Test API with single character inputs","2","Test API with single character","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1279","test_check_if_two_strings_are_anagrams[123-321-true]","tests.bdd","Wed Dec 03 15:54:02 UTC 2025","passed","Wed Dec 03 15:54:04 UTC 2025","","test_anagram_ui","",""
"Test API with 1000 character strings","2","Test API with very long strings (1K)","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1197","test_check_if_two_strings_are_anagrams[na\xefve-ve\xefan-true]","tests.bdd","Wed Dec 03 15:53:57 UTC 2025","passed","Wed Dec 03 15:53:58 UTC 2025","","test_anagram_ui","",""
"Test API with numeric strings","1","Test API with numeric strings","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1219","test_check_if_two_strings_are_anagrams[a-a-true]","tests.bdd","Wed Dec 03 15:53:36 UTC 2025","passed","Wed Dec 03 15:53:37 UTC 2025","","test_anagram_ui","",""
"Test that uppercase letters are converted to lowercase","1","Test lowercase conversion","tests.unit","Wed Dec 03 15:52:50 UTC 2025","passed","Wed Dec 03 15:52:50 UTC 2025","TestCaseInsensitiveNormalizer","test_anagram_checker","",""
"Test API with repeated characters","2","Test API with repeated characters","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"Test various valid anagram pairs","0","Test check method with valid anagrams","tests.unit","Wed Dec 03 15:52:50 UTC 2025","passed","Wed Dec 03 15:52:50 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1135","test_check_if_two_strings_are_anagrams[--false]","tests.bdd","Wed Dec 03 15:53:42 UTC 2025","passed","Wed Dec 03 15:53:43 UTC 2025","","test_anagram_ui","",""
"Test that non-anagrams are detected","0","Test non-anagrams: hello and world","tests.unit","Wed Dec 03 15:52:50 UTC 2025","passed","Wed Dec 03 15:52:50 UTC 2025","TestSortedAnagramValidator","test_anagram_checker","",""
"Test that OpenAPI JSON schema is available","3","Test OpenAPI JSON schema","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with Unicode and international characters","2","Test API with Unicode characters","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"Test that spaces are removed","1","Test space removal","tests.unit","Wed Dec 03 15:52:50 UTC 2025","passed","Wed Dec 03 15:52:50 UTC 2025","TestCaseInsensitiveNormalizer","test_anagram_checker","",""
"Test API with repeated characters","2","Test API with repeated characters","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with mixed alphanumeric strings","2","Test API with mixed alphanumeric","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"Test API endpoint with non-anagrams","1","Test API check endpoint with non-anagrams","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1225","test_check_if_two_strings_are_anagrams[hello-olleh-true]","tests.bdd","Wed Dec 03 15:53:46 UTC 2025","passed","Wed Dec 03 15:53:47 UTC 2025","","test_anagram_ui","",""
"Test API with various whitespace scenarios","2","Test API with whitespace variations","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with special characters","2","Test API with special characters","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1177","test_check_if_two_strings_are_anagrams[A decimal point-Im a dot in place-true]","tests.bdd","Wed Dec 03 15:54:25 UTC 2025","passed","Wed Dec 03 15:54:26 UTC 2025","","test_anagram_ui","",""
"Test normalization of empty string","0","Test empty string","tests.unit","Wed Dec 03 15:52:50 UTC 2025","passed","Wed Dec 03 15:52:50 UTC 2025","TestCaseInsensitiveNormalizer","test_anagram_checker","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1195","test_check_if_two_strings_are_anagrams[ABC-abc-true]","tests.bdd","Wed Dec 03 15:54:09 UTC 2025","passed","Wed Dec 03 15:54:10 UTC 2025","","test_anagram_ui","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1142","test_check_if_two_strings_are_anagrams[a b c-cba-true]","tests.bdd","Wed Dec 03 15:53:47 UTC 2025","passed","Wed Dec 03 15:53:48 UTC 2025","","test_anagram_ui","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1245","test_check_if_two_strings_are_anagrams[123-124-false]","tests.bdd","Wed Dec 03 15:54:06 UTC 2025","passed","Wed Dec 03 15:54:07 UTC 2025","","test_anagram_ui","",""
"Test various valid anagram pairs","0","Test check method with valid anagrams","tests.unit","Wed Dec 03 15:52:50 UTC 2025","passed","Wed Dec 03 15:52:50 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1211","test_check_if_two_strings_are_anagrams[abc-abc-true]","tests.bdd","Wed Dec 03 15:53:44 UTC 2025","passed","Wed Dec 03 15:53:46 UTC 2025","","test_anagram_ui","",""
"BDD: Given inputs, when checking via API, then result matches expected","2","BDD: Check if two strings are anagrams via API","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1188","test_check_if_two_strings_are_anagrams[The Quick Brown Fox-xoF nworB kciuQ ehT-true]","tests.bdd","Wed Dec 03 15:54:21 UTC 2025","passed","Wed Dec 03 15:54:23 UTC 2025","","test_anagram_ui","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1248","test_check_if_two_strings_are_anagrams[abcdefghijklmnopqrst-tsrqponmlkjihgfedcba-true]","tests.bdd","Wed Dec 03 15:54:20 UTC 2025","passed","Wed Dec 03 15:54:21 UTC 2025","","test_anagram_ui","",""
"Test API with single character inputs","2","Test API with single character","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"Test various valid anagram pairs","1","Test check method with valid anagrams","tests.unit","Wed Dec 03 15:52:50 UTC 2025","passed","Wed Dec 03 15:52:50 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"Test API endpoint with valid anagrams","2","Test API check endpoint with valid anagrams","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
"Test various non-anagram pairs","0","Test check method with non-anagrams","tests.unit","Wed Dec 03 15:52:50 UTC 2025","passed","Wed Dec 03 15:52:50 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","1270","test_check_if_two_strings_are_anagrams[100%-%001-true]","tests.bdd","Wed Dec 03 15:53:54 UTC 2025","passed","Wed Dec 03 15:53:56 UTC 2025","","test_anagram_ui","",""
"Test API with Unicode and international characters","2","Test API with Unicode characters","tests.api","Wed Dec 03 15:52:49 UTC 2025","passed","Wed Dec 03 15:52:49 UTC 2025","TestAnagramAPI","test_api","",""
