"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that OpenAPI docs are available","3","Test OpenAPI documentation","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test various valid anagram pairs","1","Test check method with valid anagrams","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"Test API endpoint with non-anagrams","2","Test API check endpoint with non-anagrams","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with Unicode and international characters","2","Test API with Unicode characters","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test normalization of empty string","1","Test empty string","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestCaseInsensitiveNormalizer","test_anagram_checker","",""
"Test API endpoint with valid anagrams","2","Test API check endpoint with valid anagrams","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with various whitespace scenarios","2","Test API with whitespace variations","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with special characters","2","Test API with special characters","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with single character inputs","2","Test API with single character","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API endpoint with non-anagrams","2","Test API check endpoint with non-anagrams","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"BDD: Given inputs, when checking via API, then result matches expected","2","BDD: Check if two strings are anagrams via API","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with special characters","2","Test API with special characters","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with various whitespace scenarios","1","Test API with whitespace variations","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with complex mixed content","2","Test API performance with complex strings","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test that uppercase letters are converted to lowercase","0","Test lowercase conversion","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestCaseInsensitiveNormalizer","test_anagram_checker","",""
"Test that validation is case insensitive","1","Test case insensitive validation","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestSortedAnagramValidator","test_anagram_checker","",""
"Test API with numeric strings","2","Test API with numeric strings","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with repeated characters","2","Test API with repeated characters","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with mixed alphanumeric strings","2","Test API with mixed alphanumeric","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"BDD: Given inputs, when checking via API, then result matches expected","2","BDD: Check if two strings are anagrams via API","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with invalid JSON","2","Test API with invalid JSON","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API case insensitivity","2","Test API with case sensitivity","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test various valid anagram pairs","0","Test check method with valid anagrams","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"Test API case insensitivity","2","Test API with case sensitivity","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with special characters","2","Test API with special characters","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test combined case and space normalization","0","Test combined normalization","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestCaseInsensitiveNormalizer","test_anagram_checker","",""
"Test API with repeated characters","3","Test API with repeated characters","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with Unicode and international characters","2","Test API with Unicode characters","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with Unicode and international characters","1","Test API with Unicode characters","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test that ReDoc docs are available","2","Test ReDoc documentation","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"BDD: Given inputs, when checking via API, then result matches expected","2","BDD: Check if two strings are anagrams via API","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"BDD: Given inputs, when checking via API, then result matches expected","2","BDD: Check if two strings are anagrams via API","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API endpoint with valid anagrams","2","Test API check endpoint with valid anagrams","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test factory function creates valid instance","0","Test factory function","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"Test API with single character inputs","1","Test API with single character","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with numeric strings","1","Test API with numeric strings","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with Unicode and international characters","2","Test API with Unicode characters","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test the health check endpoint","83","Test health check endpoint","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test that spaces are ignored","0","Test validation with spaces","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestSortedAnagramValidator","test_anagram_checker","",""
"Test API endpoint with valid anagrams","2","Test API check endpoint with valid anagrams","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with special characters","2","Test API with special characters","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with missing required fields","2","Test API with missing fields","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test that OpenAPI JSON schema is available","4","Test OpenAPI JSON schema","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with repeated characters","2","Test API with repeated characters","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with mixed alphanumeric strings","2","Test API with mixed alphanumeric","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with 1000 character strings","2","Test API with very long strings (1K)","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with single character inputs","2","Test API with single character","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test validation of empty strings","1","Test empty strings","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestSortedAnagramValidator","test_anagram_checker","",""
"Test API with special characters","2","Test API with special characters","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with Unicode and international characters","1","Test API with Unicode characters","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with special characters","2","Test API with special characters","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with mixed alphanumeric strings","1","Test API with mixed alphanumeric","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with numeric strings","1","Test API with numeric strings","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with special characters","2","Test API with special characters","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with mixed alphanumeric strings","2","Test API with mixed alphanumeric","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API case insensitivity","2","Test API with case sensitivity","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with various whitespace scenarios","2","Test API with whitespace variations","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with repeated characters","2","Test API with repeated characters","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test that spaces are removed","1","Test space removal","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestCaseInsensitiveNormalizer","test_anagram_checker","",""
"Test various valid anagram pairs","1","Test check method with valid anagrams","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"Test that non-anagrams are detected","0","Test non-anagrams: hello and world","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestSortedAnagramValidator","test_anagram_checker","",""
"BDD: Given inputs, when checking via API, then result matches expected","1","BDD: Check if two strings are anagrams via API","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with Unicode and international characters","2","Test API with Unicode characters","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API endpoint with valid anagrams","2","Test API check endpoint with valid anagrams","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with special characters","2","Test API with special characters","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test various non-anagram pairs","1","Test check method with non-anagrams","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"Test API with 10000 character strings","3","Test API with very long strings (10K)","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API endpoint with valid anagrams","2","Test API check endpoint with valid anagrams","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with single character inputs","2","Test API with single character","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with special characters","1","Test API with special characters","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test that root endpoint returns HTML page","2","Test root endpoint returns HTML","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with numeric strings","2","Test API with numeric strings","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with empty input strings","2","Test API with empty input","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with single character inputs","2","Test API with single character","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API case insensitivity","1","Test API with case sensitivity","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test various valid anagram pairs","1","Test check method with valid anagrams","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"Test API with Unicode and international characters","1","Test API with Unicode characters","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with numeric strings","2","Test API with numeric strings","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with repeated characters","1","Test API with repeated characters","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test various valid anagram pairs","1","Test check method with valid anagrams","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"Test API with strings containing only whitespace","1","Test API with only whitespace","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with various whitespace scenarios","2","Test API with whitespace variations","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test various valid anagram pairs","0","Test check method with valid anagrams","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"Test API endpoint with valid anagrams","2","Test API check endpoint with valid anagrams","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test that valid anagrams are detected","0","Test valid anagrams: listen and silent","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestSortedAnagramValidator","test_anagram_checker","",""
"Test API with special characters","2","Test API with special characters","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"BDD: Given inputs, when checking via API, then result matches expected","1","BDD: Check if two strings are anagrams via API","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with wrong content type","2","Test API with wrong content type","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with null bytes in strings","1","Test API with null bytes","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with various whitespace scenarios","2","Test API with whitespace variations","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"Test various non-anagram pairs","1","Test check method with non-anagrams","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"Test that invalid input raises ValueError","1","Test invalid input type","tests.unit","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"Test API with various whitespace scenarios","2","Test API with whitespace variations","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"BDD: Given inputs, when checking via API, then result matches expected","1","BDD: Check if two strings are anagrams via API","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with Unicode and international characters","2","Test API with Unicode characters","tests.api","Wed Dec 03 22:26:20 UTC 2025","passed","Wed Dec 03 22:26:20 UTC 2025","TestAnagramAPI","test_api","",""
"BDD: Given inputs, when checking via API, then result matches expected","2","BDD: Check if two strings are anagrams via API","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with repeated characters","1","Test API with repeated characters","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with numeric strings","2","Test API with numeric strings","tests.api","Wed Dec 03 22:26:21 UTC 2025","passed","Wed Dec 03 22:26:21 UTC 2025","TestAnagramAPI","test_api","",""
